src/main/java/com/mb/MbSpringJwtApplication.java:9:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/common/config/JwtStoreConfig.java:41:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the keyBytesFromFile method if you want a default access modifier
src/main/java/com/mb/common/config/JwtStoreConfig.java:41:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/JwtStoreConfig.java:41:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fileName' is not assigned and could be declared final
src/main/java/com/mb/common/config/PersistenceConfig.java:12:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/config/PersistenceConfig.java:12:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/config/PersistenceConfig.java:14:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/PersistenceConfig.java:15:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the auditorProvider method if you want a default access modifier
src/main/java/com/mb/common/config/SecurityConfig.java:22:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/config/SecurityConfig.java:22:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/config/SecurityConfig.java:25:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/config/SecurityConfig.java:25:	LongVariable:	LongVariable: Avoid excessively long variable names like userDetailsService
src/main/java/com/mb/common/config/SecurityConfig.java:27:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/SecurityConfig.java:28:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the passwordEncoder method if you want a default access modifier
src/main/java/com/mb/common/config/SecurityConfig.java:32:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/SecurityConfig.java:33:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the authenticationManager method if you want a default access modifier
src/main/java/com/mb/common/config/SecurityConfig.java:33:	LongVariable:	LongVariable: Avoid excessively long variable names like authenticationConfiguration
src/main/java/com/mb/common/config/SecurityConfig.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'authenticationConfiguration' is not assigned and could be declared final
src/main/java/com/mb/common/config/SecurityConfig.java:34:	SignatureDeclareThrowsException:	SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception
src/main/java/com/mb/common/config/SecurityConfig.java:38:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/SecurityConfig.java:39:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the authenticationProvider method if you want a default access modifier
src/main/java/com/mb/common/config/SecurityConfig.java:40:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'authProvider' could be declared final
src/main/java/com/mb/common/config/SecurityConfig.java:48:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/SecurityConfig.java:49:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the jwtRequestFilter method if you want a default access modifier
src/main/java/com/mb/common/config/SecurityConfig.java:53:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/main/java/com/mb/common/config/SecurityConfig.java:54:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the securityFilterChain method if you want a default access modifier
src/main/java/com/mb/common/config/SecurityConfig.java:54:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'http' is not assigned and could be declared final
src/main/java/com/mb/common/config/SecurityConfig.java:54:	SignatureDeclareThrowsException:	SignatureDeclareThrowsException: A method/constructor should not explicitly throw java.lang.Exception
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/config/SecurityConfig.java:56:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/constant/ExceptionMessage.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/constant/ExceptionMessage.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:9:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:9:	LongVariable:	LongVariable: Avoid excessively long variable names like INTERNAL_SERVER_ERROR
